time,v(Vout),v(V1)
6.725E-08,0.502716433,0.51
6.735E-08,0.502719172,0.51
6.745E-08,0.50272191,0.51
6.755E-08,0.502724647,0.51
6.765E-08,0.502727384,0.51
6.775E-08,0.502730119,0.51
6.785E-08,0.502732854,0.51
6.795E-08,0.502735587,0.51
6.805E-08,0.50273832,0.51
6.815E-08,0.502741051,0.51
6.825E-08,0.502743782,0.51
6.835E-08,0.502746512,0.51
6.845E-08,0.502749241,0.51
6.855E-08,0.502751969,0.51
6.865E-08,0.502754696,0.51
6.875E-08,0.502757422,0.51
6.885E-08,0.502760147,0.51
6.895E-08,0.502762871,0.51
6.905E-08,0.502765594,0.51
6.915E-08,0.502768316,0.51
6.925E-08,0.502771038,0.51
6.935E-08,0.502773758,0.51
6.945E-08,0.502776477,0.51
6.955E-08,0.502779196,0.51
6.965E-08,0.502781914,0.51
6.975E-08,0.50278463,0.51
6.985E-08,0.502787346,0.51
6.995E-08,0.502790061,0.51
7.005E-08,0.502792774,0.51
7.015E-08,0.502795487,0.51
7.025E-08,0.502798199,0.51
7.035E-08,0.50280091,0.51
7.045E-08,0.50280362,0.51
7.055E-08,0.502806329,0.51
7.065E-08,0.502809038,0.51
7.075E-08,0.502811745,0.51
7.085E-08,0.502814451,0.51
7.095E-08,0.502817157,0.51
7.105E-08,0.502819861,0.51
7.115E-08,0.502822564,0.51
7.125E-08,0.502825267,0.51
7.135E-08,0.502827969,0.51
7.145E-08,0.502830669,0.51
7.155E-08,0.502833369,0.51
7.165E-08,0.502836068,0.51
7.175E-08,0.502838766,0.51
7.185E-08,0.502841463,0.51
7.195E-08,0.502844159,0.51
7.205E-08,0.502846854,0.51
7.215E-08,0.502849548,0.51
7.225E-08,0.502852241,0.51
7.235E-08,0.502854933,0.51
7.245E-08,0.502857624,0.51
7.255E-08,0.502860315,0.51
7.265E-08,0.502863004,0.51
7.275E-08,0.502865693,0.51
7.285E-08,0.50286838,0.51
7.295E-08,0.502871067,0.51
7.305E-08,0.502873753,0.51
7.315E-08,0.502876437,0.51
7.325E-08,0.502879121,0.51
7.335E-08,0.502881804,0.51
7.345E-08,0.502884486,0.51
7.355E-08,0.502887167,0.51
7.365E-08,0.502889847,0.51
7.375E-08,0.502892526,0.51
7.385E-08,0.502895205,0.51
7.395E-08,0.502897882,0.51
7.405E-08,0.502900558,0.51
7.415E-08,0.502903234,0.51
7.425E-08,0.502905908,0.51
7.435E-08,0.502908582,0.51
7.445E-08,0.502911255,0.51
7.455E-08,0.502913926,0.51
7.465E-08,0.502916597,0.51
7.475E-08,0.502919267,0.51
7.485E-08,0.502921936,0.51
7.495E-08,0.502924604,0.51
7.505E-08,0.502927272,0.51
7.515E-08,0.502929938,0.51
7.525E-08,0.502932603,0.51
7.535E-08,0.502935267,0.51
7.545E-08,0.502937931,0.51
7.555E-08,0.502940594,0.51
7.565E-08,0.502943255,0.51
7.575E-08,0.502945916,0.51
7.585E-08,0.502948576,0.51
7.595E-08,0.502951235,0.51
7.605E-08,0.502953893,0.51
7.615E-08,0.50295655,0.51
7.625E-08,0.502959206,0.51
7.635E-08,0.502961861,0.51
7.645E-08,0.502964515,0.51
7.655E-08,0.502967169,0.51
7.665E-08,0.502969821,0.51
7.675E-08,0.502972473,0.51
7.685E-08,0.502975124,0.51
7.695E-08,0.502977773,0.51
7.705E-08,0.502980422,0.51
7.715E-08,0.50298307,0.51
7.725E-08,0.502985717,0.51
7.735E-08,0.502988363,0.51
7.745E-08,0.502991009,0.51
7.755E-08,0.502993653,0.51
7.765E-08,0.502996296,0.51
7.775E-08,0.502998939,0.51
7.785E-08,0.503001581,0.51
7.795E-08,0.503004221,0.51
7.805E-08,0.503006861,0.51
7.815E-08,0.5030095,0.51
7.825E-08,0.503012138,0.51
7.835E-08,0.503014775,0.51
7.845E-08,0.503017411,0.51
7.855E-08,0.503020047,0.51
7.865E-08,0.503022681,0.51
7.875E-08,0.503025315,0.51
7.885E-08,0.503027947,0.51
7.895E-08,0.503030579,0.51
7.905E-08,0.50303321,0.51
7.915E-08,0.50303584,0.51
7.925E-08,0.503038469,0.51
7.935E-08,0.503041097,0.51
7.945E-08,0.503043725,0.51
7.955E-08,0.503046351,0.51
7.965E-08,0.503048976,0.51
7.975E-08,0.503051601,0.51
7.985E-08,0.503054225,0.51
7.995E-08,0.503056848,0.51
8.005E-08,0.50305947,0.51
8.015E-08,0.503062091,0.51
8.025E-08,0.503064711,0.51
8.035E-08,0.50306733,0.51
